,Datetime,Text
35,2020-03-11 23:17:09+00:00,"I can't wait for you to explain the Yemeni Jews coming to Zion in 1882, believing in the fruition of their country. 1st modern mass emigration of Jews frm Yemen, who sailed the Red Sea, crossed Egypt &amp; sailed the Mediterranean to a port in Jaffa, &amp; then by foot to Jerusalem."
36,2020-03-11 23:17:09+00:00,Ministry of Foreign Affairs affirms kingdom’s keenness on security and stability in Yemen and its endeavor to implement (Riyadh Agreement) to achieve its goals and objectives. http://www.spa.gov.sa/2046760 #SPAGOV
37,2020-03-11 23:16:22+00:00,Or Bisexual Yemen
38,2020-03-11 23:15:55+00:00,so you think the Houthis were in control of Yemen and the Saudis were trying to overthrow them?
39,2020-03-11 23:15:06+00:00,"Basically any defence of the absurdist official narratives is a capitulation to one's slavers. That includes narratives regarding Iraq, Libya, Syria, Yemen, Venezuela, Bolivia, Assange, and others. "
40,2020-03-11 23:14:44+00:00,My dear friend Carolyn who used to help all people in need and still fighting to stop war in Yemen is now in dire need of help and support. She has been engaging in nonstop battle with four stage cancer since 2015 up to now. Her life is on the stake. Please share widely. 
41,2020-03-11 23:14:28+00:00,There is no excuse for this how can this be happening to children and the world carry on unperturbed. What will it take to stop this? Why do we allow this?
42,2020-03-11 23:13:10+00:00,why did the donkey cross the border to Yemen? To get to the Marine Mammal Commission
43,2020-03-11 23:11:40+00:00,"Now we just need the rapture to happen to bring back all the dead United States, Iraq, Yemen, Vietnam, Lybia, .............human beings. #nomorewar"
44,2020-03-11 23:10:54+00:00,So are you saying that the Arabic version says its ok to kill Muslim orphans in Yemen for oil profits or does it say something else about orphans? What does it say in Arabic about hypocrites? What does it say about arguing over the meaning of the Quran?
45,2020-03-11 23:10:15+00:00,Wild how Obama didn’t think of this instead of using his executive powers to bomb children in Yemen. 
46,2020-03-11 23:09:48+00:00,When will you stop murdering children in Yemen through your Government's authorisation of ILLEGAL arms sales to the Saudis. Disgrace. You should be ashamed of yourself. NO moral conscience.
47,2020-03-11 23:08:17+00:00,his claim to fame was how he could lead multiple wars at the same time. Was he going to end #Iranian involvement in the Yemen war?
48,2020-03-11 23:06:20+00:00,"Hey, what do you think after the latest events on the oil markets of the possibility that Russia does a surprise military intervention in Yemen ? Could it now make a deal with Iran to protect the Houtis from the Saudi in exchange for tanker problems in the Hourmuz strait? #oott"
49,2020-03-11 23:06:10+00:00,"I’m sure the civilians in Yemen, Libya, Syria, Iraq, Afghanistan would feel otherwise about all the drone strikes the Obama/Biden presidency did in their countries. We killed so many people. And we still are. I can’t vote for someone who was part of that administration. Sorry."
50,2020-03-11 23:02:53+00:00,"No good day for Trump. After much gloating at Iran's #Coronavid19 pain, US &amp; EU are in crisis. UAE &amp; Turkey are hiding high #Corona numbers. US fracking &amp; Saudi cash reserves take huge hit. Occupation forces in Iraq killed, Saudis losing ground in Yemen &amp; Al-Qaeda loses in Idlib."
51,2020-03-11 23:01:08+00:00,A lot needs to be spoken out against the killings in Yemen.
52,2020-03-11 23:00:46+00:00,"CLUELESS. So if u were born in turkey, Zimbabwe, Yemen, the amazon,u would be a christian?"
53,2020-03-11 23:00:19+00:00,"@JoeBiden is a war criminal. His administration destroyed Libya, Yemen and Syria. They systematically pushed millions of migrants into Europe and eliminated millions of civilians."
54,2020-03-11 23:00:14+00:00,We share love of nature and exotic beauty with our Premium Yemeni Sidr honey.. #love #luxury #rawhoney #honey #yemensidrhoney #yemensidr #yemen #sidrhoney
55,2020-03-11 23:00:06+00:00,"According to the BBC, Yemen wasn’t expecting their civil war to last more than a few weeks. It’s now been over four years, and the United Nations now consider it the world’s worst humanitarian crisis, according to Aljazeera. "
56,2020-03-11 22:55:36+00:00,"Oh really... see Middle East, Syria, Iraq, Yemen etc. Millions killed!"
57,2020-03-11 22:55:35+00:00,"Brett, answer honestly. If there was an intergalactic court and impartial alien jurors were assessing American war crimes in the Middle East. What we did to Iraq, Iran, Yemen, Syria, etc, etc. etc.... Do you think they would nuke us of this mf’ing planet?"
58,2020-03-11 22:54:41+00:00,We’re registering gun deaths worse than fucking Yemen that’s going through a civil war. You tell me why. 
59,2020-03-11 22:54:38+00:00,"The hypocrite and disgusting foreing policy of the united nations, they feel worried about Venezuela, but they don't rember about Yemen, neither Palestine, where there is a permanent violation of human rights. What a shame!"
